handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_559fcc9f-7f98-da1b-3615-da0ac7b62dcb,Variant,,,,,,,,87.2,false,,,InStock,,,,,Ground,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_559fcc9f-7f98-da1b-3615-da0ac7b62dcb,Variant,,,,,,,,10.8,true,,,InStock,,,,,Ground,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_559fcc9f-7f98-da1b-3615-da0ac7b62dcb,Variant,,,,,,,,,true,,,InStock,,,,,Ground,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_559fcc9f-7f98-da1b-3615-da0ac7b62dcb,Variant,,,,,,,,10.8,true,,,InStock,,,,,Whole Bean,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_89db1353-57c6-55c5-d318-c6686af0aee0,Product,Guatemala FTO Honey Joyabaj Tres Cruces,"<p>** To fully experience all the wonderful flavor notes we roast this as a&nbsp;Light a&nbsp;Roast** &nbsp;</p><p>(Weekly Roast day: Monday )</p><p>&nbsp;</p><p>Certifications: &nbsp;FLO&nbsp;Fair Trade Certified, Organic Certified</p><p>Tasting Notes: Blackberry,&nbsp;Chocolate, Black Plum, Tart Cherry</p><p>&nbsp;</p><p>Origin: Guatemala</p><p>- - - - - - - - - - - - - - - - - - - - -&nbsp;</p><p>Region: &nbsp;Joyabaj, Quiche</p><p>Producer: Small Holder Farmers</p><p>Processing: Honey Procesed</p><p>Growing Altitude: 1500m - 1900m</p><p>Plant Species: &nbsp;Arabica</p><p>Variety: &nbsp;Bourbon, Catuai, Caturra</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>",d59a0c_fea5fdd6a8a24cfba064e753b7bfed49~mv2.webp;d59a0c_8535a82db60b4faaba0cdf6d575a1583~mv2_d_2623_2623_s_4_2.jpg,Coffee Beans,,,18.25,,false,PERCENT,0.0,InStock,,,Roast,DROP_DOWN,Light,Type,DROP_DOWN,Whole Bean;Ground,Size,DROP_DOWN,10 oz;16 oz;5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_89db1353-57c6-55c5-d318-c6686af0aee0,Variant,,,,,,,,111.5,true,,,InStock,5.0,,,,Light,,,Ground,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_89db1353-57c6-55c5-d318-c6686af0aee0,Variant,,,,,,,,10.75,true,,,InStock,1.0,,,,Light,,,Whole Bean,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_89db1353-57c6-55c5-d318-c6686af0aee0,Variant,,,,,,,,,true,,,InStock,0.625,,,,Light,,,Whole Bean,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_89db1353-57c6-55c5-d318-c6686af0aee0,Variant,,,,,,,,10.75,true,,,InStock,1.0,,,,Light,,,Ground,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_89db1353-57c6-55c5-d318-c6686af0aee0,Variant,,,,,,,,111.5,true,,,InStock,5.0,,,,Light,,,Whole Bean,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_89db1353-57c6-55c5-d318-c6686af0aee0,Variant,,,,,,,,,true,,,InStock,0.625,,,,Light,,,Ground,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Product,"Guatemala, Flor De Cafe","<p>** Experience all the wonderful flavor notes roasted as a Light,  Medium or Vader ( Dark Roast )**</p><p>(Weekly Roast day: Monday )</p><p>&nbsp;</p><p>Our House Bean we use for our Espresso and Nitro Cold Brew (Medium Roast)</p><p>&nbsp;</p><p>Certifications: Fair Trade USA, Organic USDA</p><p>Tasting Notes: Milk Chocolate, Caramel, Citrus</p><p>&nbsp;</p><p>&nbsp;</p><p>Origin: Guatemala</p><p>Region: Hueheutenango</p><p>- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - </p><p>Processing: Fully washed</p><p>Coffee Grade: SHB</p><p>Variety: Bourbon, Caturra</p><p>Growing Altitude: 1550</p>",d59a0c_436cb34eaee2461ab9ec8a36069b428e~mv2.webp;d59a0c_8535a82db60b4faaba0cdf6d575a1583~mv2_d_2623_2623_s_4_2.jpg,Coffee Beans,,,20.0,,true,PERCENT,0.0,InStock,,,Roast,DROP_DOWN,Light;Medium;Vader ( Dark Roast ),Type,DROP_DOWN,Whole Bean;Ground,Size,DROP_DOWN,10 oz;16 oz;5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,,true,,,InStock,0.625,,,,Medium,,,Ground,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,12.0,true,,,InStock,1.0,,,,Light,,,Ground,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,122.0,true,,,InStock,5.0,,,,Medium,,,Whole Bean,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,,true,,,InStock,0.625,,,,Light,,,Ground,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,,true,,,InStock,,,,,Vader ( Dark Roast ),,,Ground,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,12.0,true,,,InStock,1.0,,,,Medium,,,Ground,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,122.0,true,,,InStock,5.0,,,,Light,,,Whole Bean,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,,false,,,InStock,,,,,Light,,,Ground,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,12.0,true,,,InStock,1.0,,,,Light,,,Whole Bean,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,122.0,true,,,InStock,,,,,Vader ( Dark Roast ),,,Whole Bean,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,,true,,,InStock,0.625,,,,Medium,,,Whole Bean,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,12.0,true,,,InStock,1.0,,,,Medium,,,Whole Bean,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,,false,,,InStock,,,,,Medium,,,Ground,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,,true,,,InStock,0.625,,,,Light,,,Whole Bean,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,,false,,,InStock,,,,,Vader ( Dark Roast ),,,Ground,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,12.0,true,,,InStock,,,,,Vader ( Dark Roast ),,,Ground,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,,true,,,InStock,,,,,Vader ( Dark Roast ),,,Whole Bean,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0ea9877-0b0d-874a-799d-ee950c2c61a9,Variant,,,,,,,,12.0,true,,,InStock,,,,,Vader ( Dark Roast ),,,Whole Bean,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3faeccc8-f35c-7eee-eabe-7fe576229dc4,Product,Barrel Aged Coffee Beans,"<p>&nbsp;- - SPECIAL LIMITED RELEASE - - Super Stoked for&nbsp;another Barrel Aged coffee collaboration, this time&nbsp;with&nbsp;our friends over at Clandestine Brewing ( San Jose Ca )! &nbsp;&nbsp;It's&nbsp;our favorite Guatemala Cimarron, patiently&nbsp;aged in a&nbsp;Bourbon Barrel which also held a Stout ( Faceplant ) from Clandestine Brewing. &nbsp;Don't miss out on this one!</p><p>&nbsp;</p><p>This&nbsp;Barrel&nbsp;brings out a&nbsp;smooth and&nbsp;creamy, plum, fig, and nutmeg&nbsp;flavor profile,&nbsp;with some oak&nbsp;to finish it off.</p><p>&nbsp;</p><p>Thanks to our friends at Clandestine&nbsp;for the&nbsp;gorgeous Bourbon/Stout Barrel and their AMAZING Brews. Some of the BEST barrel aged Beers around!</p><p>&nbsp;</p><p>So many incredible aromas and flavors are&nbsp;brought out of the coffee bean during the barrel aging process. The coffee bean continues to amaze us with so many different flavor levels to unpack.&nbsp; We have LIMITED Batches available, so order yours TODAY!</p><p>&nbsp;</p><p>(Weekly Roast days: Monday &amp; Thursday)</p><p>&nbsp;</p><p>Certifications:&nbsp;Organic USDA, Organic Canada</p><p>Aroma: &nbsp;Dark Berries, Sweet, Barrel</p><p>Tasting Notes:&nbsp;Oak, Plum, Fig, Nutmeg</p><p>&nbsp;</p><p>Origin: Guatemala</p><p>Origin: Guatemala</p><p>Origin: Guatemala</p><p>Region: Hueheutenango</p><p>- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -&nbsp;</p><p>Producer: Asopce</p><p>Processing: Fully washed</p><p>Coffee Grade: SHB</p><p>Variety: Bourbon, Caturra</p><p>Growing Altitude:&nbsp;1900+</p><p>Cupping score: 86</p><p>======================</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>",d59a0c_8f5f843a8fdc450dab2ac6df7491a290~mv2.jpg,Coffee Beans,,Special Release,23.0,,false,PERCENT,0.0,InStock,,,Type,DROP_DOWN,Whole Bean;Ground,Size,DROP_DOWN,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3faeccc8-f35c-7eee-eabe-7fe576229dc4,Variant,,,,,,,,,true,,,InStock,0.625,,,,Whole Bean,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3faeccc8-f35c-7eee-eabe-7fe576229dc4,Variant,,,,,,,,,true,,,InStock,0.625,,,,Ground,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_83575a9b-aeca-6437-89c1-1072303d9a32,Product,"Peru, Chontali","<p>** To fully experience all the wonderful flavor notes we roast&nbsp;this as a Light &nbsp;Roast **</p><p>(Weekly Roast day: Monday )</p><p>&nbsp;</p><p>Certifications: Fair Trade, Organic</p><p>Tasting Notes: Rasberry, Red Flame Grape, Almond Honey</p><p>&nbsp;</p><p>Origin: Peru</p><p>Region: Chontali, Jaen, Cajamarca</p><p>- - - - - - - - - - - - - - - - - - - - - - - - -&nbsp;</p><p>Plant Species: Arabica</p><p>Processing: Washed</p><p>Coffee Grade: &nbsp;PER CA WA SHB MCM G1</p><p>Variety: Caturra, Bourbon, Catimor,&nbsp;Pache</p><p>Growing Altitude: &gt;1700m</p><p>Top Lots: Highest Scoring Spots</p><p>&nbsp;</p><p>&nbsp;</p>",d59a0c_a7c714bb2bf94d709e3ebd19647feac6~mv2.jpg;d59a0c_8535a82db60b4faaba0cdf6d575a1583~mv2_d_2623_2623_s_4_2.jpg;d59a0c_a5abb6813c784c2eac52c93a39cad4cf~mv2_d_2250_1500_s_2.jpg,Coffee Beans,,,17.0,,false,PERCENT,0.0,InStock,,,Type,DROP_DOWN,Whole Bean;Ground,Size,DROP_DOWN,10 oz;16 oz;5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_83575a9b-aeca-6437-89c1-1072303d9a32,Variant,,,,,,,,,false,,,InStock,,,,,Ground,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_83575a9b-aeca-6437-89c1-1072303d9a32,Variant,,,,,,,,104.0,true,,,InStock,,,,,Whole Bean,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_83575a9b-aeca-6437-89c1-1072303d9a32,Variant,,,,,,,,10.2,true,,,InStock,,,,,Ground,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_83575a9b-aeca-6437-89c1-1072303d9a32,Variant,,,,,,,,,false,,,InStock,,,,,Whole Bean,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_83575a9b-aeca-6437-89c1-1072303d9a32,Variant,,,,,,,,104.0,true,,,InStock,,,,,Ground,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_83575a9b-aeca-6437-89c1-1072303d9a32,Variant,,,,,,,,10.2,true,,,InStock,,,,,Whole Bean,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8bc17274-9cf6-903a-9665-fec169a5cc69,Product,"Peru,  Gallito De Las Rocas","<p>** To fully experience all the wonderful flavor notes we roast&nbsp;this as a Light &nbsp;Roast **</p><p>(Weekly Roast days: Monday &amp; Thursday)</p><p>&nbsp;</p><p>Certifications: Fair Trade, Organic</p><p>Tasting Notes: Fig,&nbsp;Chocolate, Toffee, Nougat</p><p>&nbsp;</p><p>Origin: Peru</p><p>Region: San Jose del Alto district, Jaen province</p><p>- - - - - - - - - - - - - - - - - - - - - - - - -&nbsp;</p><p>Plant Species: Arabica</p><p>Processing: Washed</p><p>Coffee Grade: &nbsp;PER CA WA SHB MCM G1</p><p>Variety: Caturra, Bourbon, Catimor, Catuai, Pache,&nbsp;Typica</p><p>Growing Altitude: 1500-1900m</p><p>Top Lots: Highest Scoring Spots</p><p>&nbsp;</p><p>&nbsp;</p>",d59a0c_7a2d6347658747379f65ad6484534e88~mv2.jpeg;d59a0c_a94878083caa4b2cb15f8b8b69dcea46~mv2.png;d59a0c_8535a82db60b4faaba0cdf6d575a1583~mv2_d_2623_2623_s_4_2.jpg;d59a0c_a5abb6813c784c2eac52c93a39cad4cf~mv2_d_2250_1500_s_2.jpg,Coffee Beans,,New Arrival,18.0,,false,PERCENT,0.0,InStock,,,Type,DROP_DOWN,Whole Bean;Ground,Size,DROP_DOWN,10 oz;16 oz;5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8bc17274-9cf6-903a-9665-fec169a5cc69,Variant,,,,,,,,10.8,true,,,InStock,,,,,Whole Bean,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8bc17274-9cf6-903a-9665-fec169a5cc69,Variant,,,,,,,,110.0,true,,,InStock,,,,,Whole Bean,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8bc17274-9cf6-903a-9665-fec169a5cc69,Variant,,,,,,,,,false,,,InStock,,,,,Whole Bean,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8bc17274-9cf6-903a-9665-fec169a5cc69,Variant,,,,,,,,110.0,true,,,InStock,,,,,Ground,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8bc17274-9cf6-903a-9665-fec169a5cc69,Variant,,,,,,,,,false,,,InStock,,,,,Ground,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8bc17274-9cf6-903a-9665-fec169a5cc69,Variant,,,,,,,,10.8,true,,,InStock,,,,,Ground,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ac51a749-bf63-41f9-5b89-c3ac2ec77ba3,Product,"Mexico, Chiapas Tzeltal","<p>** To fully experience all the wonderful flavor notes, this bean is roasted on the Medium&nbsp;Dark&nbsp;side&nbsp;**</p><p>(Weekly Roast day: Monday )</p><p>&nbsp;</p><p>Certifications: Fair Trade, Organic</p><p>Tasting Notes:&nbsp;Almond, Golden Raisin, Bakers&nbsp;Chocolate, Black Tea</p><p>&nbsp;</p><p>Origin: Mexico</p><p>Co-Op: Cooperitava Tzeltal Tzotzil</p><p>- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -&nbsp;</p><p>Region: Chiapas</p><p>Processing: Washed</p><p>Coffee Varieties: Bourbon, Mundo, Novo</p><p>Coffee Grade: MEX CA WA SHG</p>",d59a0c_ceeddd0d6d414ab2999c71b8c87f3ed4~mv2.webp;d59a0c_8535a82db60b4faaba0cdf6d575a1583~mv2_d_2623_2623_s_4_2.jpg,Coffee Beans,,,14.75,,false,PERCENT,0.0,InStock,,,Type,DROP_DOWN,Whole Bean;Ground,Size,DROP_DOWN,10 oz;16 oz;5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ac51a749-bf63-41f9-5b89-c3ac2ec77ba3,Variant,,,,,,,,,false,,,InStock,,,,,Whole Bean,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ac51a749-bf63-41f9-5b89-c3ac2ec77ba3,Variant,,,,,,,,8.85,true,,,InStock,,,,,Whole Bean,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ac51a749-bf63-41f9-5b89-c3ac2ec77ba3,Variant,,,,,,,,,false,,,InStock,,,,,Ground,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ac51a749-bf63-41f9-5b89-c3ac2ec77ba3,Variant,,,,,,,,8.85,true,,,InStock,,,,,Ground,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ac51a749-bf63-41f9-5b89-c3ac2ec77ba3,Variant,,,,,,,,90.25,true,,,InStock,,,,,Whole Bean,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ac51a749-bf63-41f9-5b89-c3ac2ec77ba3,Variant,,,,,,,,90.25,true,,,InStock,,,,,Ground,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6c00d181-9541-b51b-5fce-c3e8f77e20c3,Product,"Mexico,Chiapas Yajalon","<p>** To fully experience all the wonderful flavor notes, this bean is roasted on the lighter&nbsp;side&nbsp;**</p><p>(Weekly Roast day: Monday )</p><p>&nbsp;</p><p>Certifications: Fair Trade, Organic</p><p>Tasting Notes: Toffee, Milk&nbsp;Chocolate, Sweet, Dry Pear</p><p>&nbsp;</p><p>Origin: Mexico</p><p>Region: Altos de Chiapas</p><p>- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -&nbsp;</p><p>Processing: Washed</p><p>Coffee Varieties: Bourbon, Pacamara, Marsellesa</p><p>Coffee Grade: MEX CA WA HG</p>",d59a0c_42a70bdeb9954eb9b8eb18c38747bb0a~mv2.jpg;d59a0c_a5abb6813c784c2eac52c93a39cad4cf~mv2_d_2250_1500_s_2.jpg;d59a0c_8535a82db60b4faaba0cdf6d575a1583~mv2_d_2623_2623_s_4_2.jpg,Coffee Beans,,,14.25,,false,PERCENT,0.0,InStock,,,Type,DROP_DOWN,Whole Bean;Ground,Size,DROP_DOWN,10 oz;16 oz;5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6c00d181-9541-b51b-5fce-c3e8f77e20c3,Variant,,,,,,,,,false,,,InStock,,,,,Ground,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6c00d181-9541-b51b-5fce-c3e8f77e20c3,Variant,,,,,,,,8.55,true,,,InStock,,,,,Whole Bean,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6c00d181-9541-b51b-5fce-c3e8f77e20c3,Variant,,,,,,,,8.55,true,,,InStock,,,,,Ground,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6c00d181-9541-b51b-5fce-c3e8f77e20c3,Variant,,,,,,,,87.2,true,,,InStock,,,,,Ground,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
